"OTU","kingdom","phylum","class","order","family","genus","species"
"4371191","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"1036749","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","",""
"259732","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",""
"318609","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",""
"816470","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","",""
"746501","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",""
"591907","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","",""
"809861","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"1111456","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"588240","Bacteria","Acidobacteria","[Chloracidobacteria]","11-24","","",""
"623634","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae","Candidatus Solibacter",""
"4444764","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","","",""
"4128584","Bacteria","Planctomycetes","Phycisphaerae","WD2101","","",""
"612267","Bacteria","Planctomycetes","Planctomycetia","Gemmatales","Gemmataceae","",""
"410905","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Modestobacter",""
"761119","Bacteria","Planctomycetes","Planctomycetia","Gemmatales","Isosphaeraceae","",""
"235578","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",""
"564093","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Virgisporangium",""
"4361074","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","",""
"901893","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Frankiaceae","Frankia",""
"553653","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",""
"201726","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",""
"829373","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Pseudonocardia",""
"253429","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",""
"1107243","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium",""
"302530","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Koribacteraceae","",""
"974817","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","","",""
"160895","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","","",""
"95008","Bacteria","TM7","TM7-3","","","",""
"569552","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",""
"130864","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",""
"580223","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","",""
"859313","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","C111","",""
"735782","Bacteria","Acidobacteria","[Chloracidobacteria]","RB41","","",""
"4381109","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","",""
"1033426","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",""
"152842","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","",""
"132985","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter",""
"1085229","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","",""
"4387263","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"4459446","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium",""
"959160","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Mycetocola",""
"807525","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",""
"807035","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Leucobacter",""
"533999","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteibacter",""
"702443","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"571709","Bacteria","Acidobacteria","Acidobacteria-6","iii1-15","","",""
"244248","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales",NA,NA,NA
"925397","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium",""
"555384","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptosporangiaceae","Nonomuraea",""
"818461","Bacteria","Acidobacteria","[Chloracidobacteria]","RB41","Ellin6075","",""
"1112675","Bacteria","TM7","TM7-1","","","",""
"555387","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodoplanes",""
"460604","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","",""
"1521997","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodoplanes",""
"1138568","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"4454531","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"776288","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae","",""
"153978","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","","",""
"463861","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter",""
