	P4	AS5	P2	LS1	P3	BS2	BLN4	AS4	LS2	CS5	LS5	P5	P1	CS1	CS4	CS2	CS3	CLN5	BS1	AS2	AS3	LS4	BLN3	BS5	ALN2	ALN1	BS4	AS1	LS3	BS3
DJP4	0.0	0.627333470542	0.613327724629	0.67459031796	0.672489484424	0.719734278577	0.730443917717	0.691258784105	0.693392833226	0.733960678877	0.693361722404	0.651695208885	0.649947280485	0.621456900858	0.63607496227	0.622331006136	0.65327432377	0.681436590457	0.629943761706	0.670046780934	0.635245900748	0.674919659753	0.734875520509	0.620503989827	0.758976187878	0.75196462957	0.747871757904	0.650742200211	0.663378097606	0.690490399754
DJAS5	0.627333470542	0.0	0.626524117236	0.658743614932	0.71703290007	0.733538813177	0.769783425123	0.684380687761	0.715669324626	0.778917899196	0.716640849961	0.672911121212	0.629757160595	0.626195069932	0.628140825958	0.609806095956	0.612962151132	0.664572452292	0.602950006108	0.65601807616	0.591474055042	0.625334727804	0.78004348255	0.631791587282	0.791203143069	0.762256159231	0.764253505382	0.601647874411	0.641602583868	0.696018592412
DJP2	0.613327724629	0.626524117236	0.0	0.693636904671	0.692826457441	0.733291957281	0.771315544234	0.688030538898	0.712265637289	0.7535443756	0.719817084881	0.652209655509	0.66013749521	0.610031647126	0.656287045242	0.620368939767	0.677418219042	0.674721471599	0.645396693438	0.683872555466	0.635139061562	0.660341571694	0.758693924882	0.648033819429	0.769589526637	0.739485553391	0.75321869165	0.650151629799	0.66463345673	0.696668221275
DJLS1	0.67459031796	0.658743614932	0.693636904671	0.0	0.729747443488	0.730700923954	0.7494268183	0.696767738839	0.698346792642	0.75001729958	0.696321155929	0.703957267697	0.623413312265	0.636130282072	0.620522450336	0.626418238785	0.641350273457	0.662870836631	0.632596915123	0.685829242337	0.620704144838	0.63095066417	0.791807317044	0.658228009437	0.789499332327	0.782231025551	0.736896850222	0.656357315462	0.611159120998	0.69168284048
DJP3	0.672489484424	0.71703290007	0.692826457441	0.729747443488	0.0	0.720405905818	0.727518959161	0.708931460907	0.689206165632	0.734870235024	0.668523581018	0.70957513136	0.708450262786	0.705099390961	0.715110736985	0.714303353941	0.721363104838	0.683008765696	0.710769035087	0.730094519022	0.718020652789	0.737217982803	0.731322133501	0.700889980456	0.778315891878	0.782618031046	0.766873936438	0.7094312801	0.718319837744	0.70051637719
DJBS2	0.719734278577	0.733538813177	0.733291957281	0.730700923954	0.720405905818	0.0	0.683040531194	0.689717634186	0.661394210577	0.664134874325	0.663293684895	0.736475813695	0.74913102209	0.681821877499	0.705529852273	0.695755031379	0.730500737162	0.704652144321	0.704350692532	0.728402353643	0.696989946638	0.739900955819	0.697803573756	0.645849340636	0.74045855183	0.707707045525	0.641452475965	0.72071801773	0.731862185157	0.595177686618
DJBLN4	0.730443917717	0.769783425123	0.771315544234	0.7494268183	0.727518959161	0.683040531194	0.0	0.700522341647	0.642369579107	0.656324879451	0.666005348239	0.751138033386	0.778740630023	0.751207575187	0.751500876197	0.751477005555	0.777014102904	0.689451519641	0.763549730943	0.7617110239	0.756237322636	0.773574658442	0.666764032459	0.718434454579	0.695640841702	0.709171384947	0.715051122233	0.774690332456	0.741484153664	0.676286171019
DJAS4	0.691258784105	0.684380687761	0.688030538898	0.696767738839	0.708931460907	0.689717634186	0.700522341647	0.0	0.677352071834	0.692624535163	0.656985840978	0.704570023157	0.699931621541	0.673609753199	0.689063257712	0.660365388064	0.713668833976	0.660318764484	0.689178700045	0.673515499337	0.667331492082	0.679401078176	0.730032756037	0.649337734939	0.758656096536	0.757766609226	0.68082075249	0.66856635256	0.672092706598	0.616758979498
DJLS2	0.693392833226	0.715669324626	0.712265637289	0.698346792642	0.689206165632	0.661394210577	0.642369579107	0.677352071834	0.0	0.68025244143	0.545781507795	0.692904889084	0.71011894799	0.677070386169	0.689905107118	0.693029853681	0.71842990959	0.622653246707	0.673870067789	0.686669085852	0.704857744169	0.712435617615	0.69511318388	0.65537835649	0.722122623724	0.744798580949	0.665162027893	0.695005158692	0.658091339684	0.62719331762
DJCS5	0.733960678877	0.778917899196	0.7535443756	0.75001729958	0.734870235024	0.664134874325	0.656324879451	0.692624535163	0.68025244143	0.0	0.688658032268	0.721091874087	0.769819114682	0.715577721259	0.733622142833	0.719834901871	0.771607428331	0.722057350632	0.764768073508	0.744003764854	0.740797356773	0.745130860111	0.676048102934	0.691653314693	0.677801227797	0.616853711807	0.681979715105	0.746937503422	0.746029279704	0.658496637657
DJLS5	0.693361722404	0.716640849961	0.719817084881	0.696321155929	0.668523581018	0.663293684895	0.666005348239	0.656985840978	0.545781507795	0.688658032268	0.0	0.710866952566	0.728327893456	0.690352534461	0.694362212417	0.693068103909	0.723556879338	0.644202550895	0.690109873464	0.721893322185	0.705485367174	0.714350541636	0.701408215462	0.658416053495	0.712863291413	0.72890378319	0.70200719627	0.714015902868	0.638309444957	0.658609652338
DJP5	0.651695208885	0.672911121212	0.652209655509	0.703957267697	0.70957513136	0.736475813695	0.751138033386	0.704570023157	0.692904889084	0.721091874087	0.710866952566	0.0	0.677832183902	0.661912441728	0.668871409643	0.671961401561	0.719581082706	0.713605422363	0.683538914347	0.686000643209	0.674779404375	0.693130899383	0.753161361177	0.67465284635	0.751469212807	0.741997213527	0.758534976202	0.6595023245	0.704003234937	0.696766611234
DJP1	0.649947280485	0.629757160595	0.66013749521	0.623413312265	0.708450262786	0.74913102209	0.778740630023	0.699931621541	0.71011894799	0.769819114682	0.728327893456	0.677832183902	0.0	0.633015834533	0.618774061661	0.585708560167	0.639376959214	0.687348237097	0.592076866401	0.664402705634	0.609731983199	0.637751004607	0.786260356376	0.626954314934	0.804104801358	0.7981489228	0.764720841255	0.614106583257	0.628217173249	0.693819713239
DJCS1	0.621456900858	0.626195069932	0.610031647126	0.636130282072	0.705099390961	0.681821877499	0.751207575187	0.673609753199	0.677070386169	0.715577721259	0.690352534461	0.661912441728	0.633015834533	0.0	0.605890775289	0.597504612477	0.640165769313	0.627389269158	0.609057553967	0.647903739527	0.61933609459	0.616195591616	0.741171031387	0.632319447584	0.757932354599	0.72796346892	0.719946084308	0.617517043384	0.639559481577	0.66923606918
DJCS4	0.63607496227	0.628140825958	0.656287045242	0.620522450336	0.715110736985	0.705529852273	0.751500876197	0.689063257712	0.689905107118	0.733622142833	0.694362212417	0.668871409643	0.618774061661	0.605890775289	0.0	0.594584673291	0.644429035529	0.642536014086	0.597634126559	0.668335428365	0.591032062808	0.623891934427	0.761682618099	0.614532923496	0.793064914623	0.76889348093	0.756137341191	0.624068811528	0.645522999901	0.682971154093
DJCS2	0.622331006136	0.609806095956	0.620368939767	0.626418238785	0.714303353941	0.695755031379	0.751477005555	0.660365388064	0.693029853681	0.719834901871	0.693068103909	0.671961401561	0.585708560167	0.597504612477	0.594584673291	0.0	0.632572872569	0.642905589186	0.602039191009	0.673314367529	0.591356559556	0.620863627081	0.749745414369	0.584751012058	0.768489406693	0.765412282572	0.727477357879	0.622775290447	0.612105394736	0.661593229657
DJCS3	0.65327432377	0.612962151132	0.677418219042	0.641350273457	0.721363104838	0.730500737162	0.777014102904	0.713668833976	0.71842990959	0.771607428331	0.723556879338	0.719581082706	0.639376959214	0.640165769313	0.644429035529	0.632572872569	0.0	0.680382697281	0.618239850484	0.679811145853	0.624021655834	0.634897471156	0.783776906639	0.634480672992	0.797593215792	0.780305347322	0.779884066564	0.626102920703	0.656576283227	0.711209454432
DJCLN5	0.681436590457	0.664572452292	0.674721471599	0.662870836631	0.683008765696	0.704652144321	0.689451519641	0.660318764484	0.622653246707	0.722057350632	0.644202550895	0.713605422363	0.687348237097	0.627389269158	0.642536014086	0.642905589186	0.680382697281	0.0	0.643780264327	0.697723953441	0.662757456797	0.638106169571	0.733912983199	0.63170861719	0.777051355726	0.746503352839	0.728907109509	0.678439832648	0.625926503654	0.688571456708
DJBS1	0.629943761706	0.602950006108	0.645396693438	0.632596915123	0.710769035087	0.704350692532	0.763549730943	0.689178700045	0.673870067789	0.764768073508	0.690109873464	0.683538914347	0.592076866401	0.609057553967	0.597634126559	0.602039191009	0.618239850484	0.643780264327	0.0	0.655046457334	0.620942230571	0.615131294632	0.779396447532	0.60100246942	0.800125042476	0.780606327082	0.738072894523	0.593086486932	0.642984303712	0.680883574324
DJAS2	0.670046780934	0.65601807616	0.683872555466	0.685829242337	0.730094519022	0.728402353643	0.7617110239	0.673515499337	0.686669085852	0.744003764854	0.721893322185	0.686000643209	0.664402705634	0.647903739527	0.668335428365	0.673314367529	0.679811145853	0.697723953441	0.655046457334	0.0	0.670835642936	0.675700979305	0.749497995906	0.64386870582	0.743047370669	0.749341285737	0.736844647501	0.654881757138	0.69896333019	0.687170592586
DJAS3	0.635245900748	0.591474055042	0.635139061562	0.620704144838	0.718020652789	0.696989946638	0.756237322636	0.667331492082	0.704857744169	0.740797356773	0.705485367174	0.674779404375	0.609731983199	0.61933609459	0.591032062808	0.591356559556	0.624021655834	0.662757456797	0.620942230571	0.670835642936	0.0	0.608903841432	0.778546586511	0.60347713572	0.79396691186	0.774228872299	0.750303266113	0.607695593063	0.61158782869	0.647040153881
DJLS4	0.674919659753	0.625334727804	0.660341571694	0.63095066417	0.737217982803	0.739900955819	0.773574658442	0.679401078176	0.712435617615	0.745130860111	0.714350541636	0.693130899383	0.637751004607	0.616195591616	0.623891934427	0.620863627081	0.634897471156	0.638106169571	0.615131294632	0.675700979305	0.608903841432	0.0	0.791641008919	0.633376672643	0.802117366165	0.776272892563	0.765376836291	0.625547872608	0.621702336332	0.692949429257
DJBLN3	0.734875520509	0.78004348255	0.758693924882	0.791807317044	0.731322133501	0.697803573756	0.666764032459	0.730032756037	0.69511318388	0.676048102934	0.701408215462	0.753161361177	0.786260356376	0.741171031387	0.761682618099	0.749745414369	0.783776906639	0.733912983199	0.779396447532	0.749497995906	0.778546586511	0.791641008919	0.0	0.726342960025	0.645569378197	0.69716820585	0.726111309547	0.763991072361	0.769996974459	0.713840212292
DJBS5	0.620503989827	0.631791587282	0.648033819429	0.658228009437	0.700889980456	0.645849340636	0.718434454579	0.649337734939	0.65537835649	0.691653314693	0.658416053495	0.67465284635	0.626954314934	0.632319447584	0.614532923496	0.584751012058	0.634480672992	0.63170861719	0.60100246942	0.64386870582	0.60347713572	0.633376672643	0.726342960025	0.0	0.746355379944	0.729780200271	0.721238952339	0.619637948483	0.63920658115	0.614834805005
DJALN2	0.758976187878	0.791203143069	0.769589526637	0.789499332327	0.778315891878	0.74045855183	0.695640841702	0.758656096536	0.722122623724	0.677801227797	0.712863291413	0.751469212807	0.804104801358	0.757932354599	0.793064914623	0.768489406693	0.797593215792	0.777051355726	0.800125042476	0.743047370669	0.79396691186	0.802117366165	0.645569378197	0.746355379944	0.0	0.668512578884	0.752877466568	0.783670416322	0.805370384753	0.758105663259
