	P4	AS5	P2	LS1	P3	BS2	BLN4	AS4	LS2	CS5	LS5	P5	P1	CS1	CS4	CS2	CS3	CLN5	BS1	AS2	AS3	LS4	BLN3	BS5	ALN2	ALN1	BS4	AS1	LS3	BS3
DJP4	0.0	0.658556359421	0.168959456602	0.262948853858	0.183895511869	0.392473640579	0.427059263724	0.414934154303	0.564099530786	0.221121207344	0.553173542285	0.66382745549	0.354812711424	0.225463323442	0.240868425445	0.229845875371	0.342671083086	0.268982741098	0.36027483865	0.621920636128	0.438727909866	0.519293894659	0.22004631862	0.362017320104	0.205591025593	0.21194268546	0.321728518175	0.482464183976	0.588797533383	0.424118269659
DJAS5	0.658556359421	0.0	0.609738868694	0.511962998887	0.601062572329	0.457106691395	0.4915825	0.499740012982	0.302619135757	0.588704643917	0.30944932678	1.08103109607	0.673490621291	0.575670280045	0.505101813798	0.510764616098	0.654247650223	0.533897713279	0.494846676558	0.70575083457	0.441075396884	0.414128618323	0.626236097923	0.476618204748	0.631814187685	0.619277216246	0.547343412463	0.447342765208	0.268621122033	0.454480689911
DJP2	0.168959456602	0.609738868694	0.0	0.248272264466	0.0991405211424	0.361311591246	0.37646953635	0.382429478858	0.545241005193	0.158656925074	0.524876044139	0.616645862389	0.337746930638	0.154980506306	0.258984525223	0.182544222923	0.332043065653	0.219547045623	0.334056765579	0.570013675816	0.416085033383	0.484079905415	0.13918587908	0.332817700297	0.14101925816	0.136826188798	0.305498512611	0.459902464763	0.556765472923	0.402459432493
DJLS1	0.262948853858	0.511962998887	0.248272264466	0.0	0.250595882789	0.349174760757	0.387964831231	0.370165029674	0.511761418769	0.244313180638	0.48514852003	0.717567767062	0.259293783383	0.215405537834	0.134601912092	0.160948775964	0.23313166543	0.209433742582	0.171028451409	0.487975235534	0.251517520401	0.325672392433	0.274605001855	0.309525380193	0.258370602745	0.266802188427	0.264343974407	0.312059469585	0.464985816024	0.378522683605
DJP3	0.183895511869	0.601062572329	0.0991405211424	0.250595882789	0.0	0.340141670994	0.339242216246	0.345134191395	0.498758373516	0.139419389837	0.478343987389	0.639382292285	0.33759824184	0.175616717359	0.250912843101	0.185745511869	0.336422607567	0.190589751484	0.334796251855	0.568566392804	0.412645202151	0.486029981454	0.140871281528	0.310468800074	0.151020584199	0.140596717359	0.291342806009	0.454455604599	0.53754060089	0.362883822329
DJBS2	0.392473640579	0.457106691395	0.361311591246	0.349174760757	0.340141670994	0.0	0.12915129451	0.154857553783	0.307446253709	0.2789875	0.306954241469	0.843042817136	0.547259248887	0.305430736276	0.349602793027	0.277430291172	0.521641852745	0.252503202893	0.32627231454	0.495941442878	0.269803868694	0.396575050074	0.315073991098	0.140933175074	0.307784681009	0.312180331973	0.229338015579	0.267575142804	0.3970115523	0.109457807864
DJBLN4	0.427059263724	0.4915825	0.37646953635	0.387964831231	0.339242216246	0.12915129451	0.0	0.188188243694	0.326602229228	0.252134595697	0.328089894288	0.853858562685	0.559696696958	0.354385636128	0.372919280415	0.323317928412	0.544529248887	0.22415141135	0.385474996291	0.524520482196	0.320629974036	0.414908351261	0.286379106083	0.169280712166	0.298586075668	0.283127883902	0.317128123145	0.312128992953	0.404374942507	0.152413924332
DJAS4	0.414934154303	0.499740012982	0.382429478858	0.370165029674	0.345134191395	0.154857553783	0.188188243694	0.0	0.3762753023	0.281001589392	0.340087132789	0.863629855341	0.555258327151	0.297233738872	0.357843340134	0.29509638724	0.529586146142	0.243756821217	0.331995814169	0.513324582715	0.263782898739	0.446466175816	0.325375443249	0.140373469955	0.329490888353	0.315070660237	0.261639994436	0.343756576409	0.432295645401	0.14004368138
DJLS2	0.564099530786	0.302619135757	0.545241005193	0.511761418769	0.498758373516	0.307446253709	0.326602229228	0.3762753023	0.0	0.464068308605	0.152964749629	1.01431928598	0.691755424703	0.516652509273	0.511107652077	0.476935554525	0.671153158383	0.436707271884	0.502810274481	0.669829395401	0.463478660979	0.42341784681	0.51079050816	0.38100685089	0.509620089021	0.496350702893	0.409138364243	0.452570005564	0.24615159681	0.317387648368
DJCS5	0.221121207344	0.588704643917	0.158656925074	0.244313180638	0.139419389837	0.2789875	0.252134595697	0.281001589392	0.464068308605	0.0	0.428991804525	0.634895829006	0.356590817878	0.164533306751	0.236462896884	0.158105602745	0.341307835682	0.144795409866	0.321770541543	0.527405916172	0.39888268546	0.479186448442	0.0622461683976	0.268042600148	0.0664591320475	0.0414804617953	0.232882095697	0.445349842359	0.52747293954	0.306872232938
DJLS5	0.553173542285	0.30944932678	0.524876044139	0.48514852003	0.478343987389	0.306954241469	0.328089894288	0.340087132789	0.152964749629	0.428991804525	0.0	1.002638023	0.67779393546	0.48809689911	0.490819200668	0.45372634273	0.654863998516	0.400495144659	0.486414656899	0.645756051558	0.447145721439	0.408147722552	0.468388065653	0.34625173405	0.475501563427	0.458139625371	0.398832357196	0.46347597181	0.289080163205	0.280807876484
DJP5	0.66382745549	1.08103109607	0.616645862389	0.717567767062	0.639382292285	0.843042817136	0.853858562685	0.863629855341	1.01431928598	0.634895829006	1.002638023	0.0	0.719459706973	0.658900771513	0.730985127967	0.685338063798	0.71011102003	0.714674692136	0.773546426187	0.91461025408	0.857197257047	0.925743523739	0.606678644288	0.826133840875	0.617653247404	0.609751580119	0.745134133902	0.881121602374	1.03087548591	0.882011363131
DJP1	0.354812711424	0.673490621291	0.337746930638	0.259293783383	0.33759824184	0.547259248887	0.559696696958	0.555258327151	0.691755424703	0.356590817878	0.67779393546	0.719459706973	0.0	0.340966921365	0.279223685089	0.311864692136	0.146350816024	0.38288884273	0.288083184347	0.559732991469	0.353422954377	0.428701925074	0.371660443249	0.497343336424	0.375066058976	0.36619953635	0.45569363316	0.351272726261	0.651932666914	0.565387119807
DJCS1	0.225463323442	0.575670280045	0.154980506306	0.215405537834	0.175616717359	0.305430736276	0.354385636128	0.297233738872	0.516652509273	0.164533306751	0.48809689911	0.658900771513	0.340966921365	0.0	0.22467122589	0.0989088316024	0.31494106454	0.184075430267	0.269851073813	0.543617579748	0.349889211795	0.467230849407	0.164375951409	0.264300684347	0.15881326224	0.158947922849	0.237354920252	0.428727091988	0.530296646884	0.334369464021
DJCS4	0.240868425445	0.505101813798	0.258984525223	0.134601912092	0.250912843101	0.349602793027	0.372919280415	0.357843340134	0.511107652077	0.236462896884	0.490819200668	0.730985127967	0.279223685089	0.22467122589	0.0	0.16105164503	0.254770825297	0.199798662834	0.205715400593	0.509925830861	0.268538412463	0.364970606454	0.276461821217	0.296852633531	0.284627080861	0.272398807493	0.286400211424	0.325102134644	0.472198329006	0.355060630564
DJCS2	0.229845875371	0.510764616098	0.182544222923	0.160948775964	0.185745511869	0.277430291172	0.323317928412	0.29509638724	0.476935554525	0.158105602745	0.45372634273	0.685338063798	0.311864692136	0.0989088316024	0.16105164503	0.0	0.288242889466	0.145287559347	0.214884449184	0.499182876484	0.298130016691	0.406434929525	0.199295450668	0.235867924703	0.192359122774	0.19130634273	0.229350632418	0.360194877596	0.468429365727	0.302665328264
DJCS3	0.342671083086	0.654247650223	0.332043065653	0.23313166543	0.336422607567	0.521641852745	0.544529248887	0.529586146142	0.671153158383	0.341307835682	0.654863998516	0.71011102003	0.146350816024	0.31494106454	0.254770825297	0.288242889466	0.0	0.365962748516	0.277501956602	0.533452691024	0.341635064911	0.410227815282	0.361324382418	0.467455495178	0.360936897255	0.354116906528	0.430268125	0.350344009644	0.629557040059	0.537411856454
DJCLN5	0.268982741098	0.533897713279	0.219547045623	0.209433742582	0.190589751484	0.252503202893	0.22415141135	0.243756821217	0.436707271884	0.144795409866	0.400495144659	0.714674692136	0.38288884273	0.184075430267	0.199798662834	0.145287559347	0.365962748516	0.0	0.253474823813	0.496654808976	0.318740832715	0.432429554896	0.181653225148	0.205454093101	0.193938251113	0.175912066024	0.231386626484	0.369568112018	0.430935938427	0.263115702893
DJBS1	0.36027483865	0.494846676558	0.334056765579	0.171028451409	0.334796251855	0.32627231454	0.385474996291	0.331995814169	0.502810274481	0.321770541543	0.486414656899	0.773546426187	0.288083184347	0.269851073813	0.205715400593	0.214884449184	0.277501956602	0.253474823813	0.0	0.438970063056	0.172439758902	0.306217461053	0.362095675074	0.271107537092	0.365996301929	0.355904508531	0.235316613501	0.244516663576	0.462015814169	0.332671053412
DJAS2	0.621920636128	0.70575083457	0.570013675816	0.487975235534	0.568566392804	0.495941442878	0.524520482196	0.513324582715	0.669829395401	0.527405916172	0.645756051558	0.91461025408	0.559732991469	0.543617579748	0.509925830861	0.499182876484	0.533452691024	0.496654808976	0.438970063056	0.0	0.445227158754	0.552425320846	0.55879166543	0.495291212908	0.563631847181	0.553018332715	0.477867344214	0.492428095326	0.656215038947	0.52280629451
DJAS3	0.438727909866	0.441075396884	0.416085033383	0.251517520401	0.412645202151	0.269803868694	0.320629974036	0.263782898739	0.463478660979	0.39888268546	0.447145721439	0.857197257047	0.353422954377	0.349889211795	0.268538412463	0.298130016691	0.341635064911	0.318740832715	0.172439758902	0.445227158754	0.0	0.275288117582	0.438960129822	0.252147184718	0.445769154303	0.433769693991	0.332155593472	0.162423425445	0.423794256306	0.277094892433
DJLS4	0.519293894659	0.414128618323	0.484079905415	0.325672392433	0.486029981454	0.396575050074	0.414908351261	0.446466175816	0.42341784681	0.479186448442	0.408147722552	0.925743523739	0.428701925074	0.467230849407	0.364970606454	0.406434929525	0.410227815282	0.432429554896	0.306217461053	0.552425320846	0.275288117582	0.0	0.515665595326	0.398196185089	0.51938293954	0.508217908012	0.471190276335	0.265386068249	0.314862837537	0.409991860163
DJBLN3	0.22004631862	0.626236097923	0.13918587908	0.274605001855	0.140871281528	0.315073991098	0.286379106083	0.325375443249	0.51079050816	0.0622461683976	0.468388065653	0.606678644288	0.371660443249	0.164375951409	0.276461821217	0.199295450668	0.361324382418	0.181653225148	0.362095675074	0.55879166543	0.438960129822	0.515665595326	0.0	0.308873112018	0.0435467025223	0.0320104617953	0.27149074184	0.48604539503	0.568135435831	0.34463745178
